condition,category,supplements,pmids,demographics
Brain Oxygenation,Cognitive & Neurological Performance,Creatine,39569437,
Increase Brain Oxygenation,Cognitive & Neurological Function,Creatine,39569437,
Sleep Duration,Sleep,Creatine,39203908,
Ulcerative Colitis,Gut Health,Curcumin; Eicosapentaenoic acid (EPA); Resveratrol; Saffron; Selenium,29391271; 33015869; 37525068; 38794742,
Bacterial Vaginosis,Women's Health,Curcumin,40032905,Women
Chronic Kidney Disease,Kidney & Bladder Health,Curcumin; Manganese; Taurine; Vitamin B6 (Pyridoxine),23392542; 24491880; 35598122; 36640725; 38809154; 39620369,Cancer; Chemotherapy; Diabetes Type 2; Fatty Liver Disease
Dry Eyes,Vision & Eye Health,Curcumin; Lutein; Selenium; Taurine; Vitamin B1 (Thiamine); Zeaxanthin,29687335; 36145126; 39613259; 39770987; 39894407; 40244565,Glaucoma
Burping,Gut Health,Curcumin,40647170,Obese; Women
Improve Hearing,Quality of Life & Function,Curcumin,39079962,CKD
Atherosclerosis,Heart & Vascular Health,Curcumin; Docosahexaenoic acid (DHA); Eicosapentaenoic acid (EPA); Garlic; Lutein; Maca; Vitamin B7 (Biotin); Vitamin K1; Vitamin K2; Zeaxanthin,17496732; 18054420; 22169620; 23719555; 24285427; 24285428; 28863874; 30271161; 31334703; 32759543; 34637494; 36721177; 37681568; 38885922; 38890092; 39125322; 39680321,CKD; Diabetes Type 2; Hemodialysis; Obese
Increase Muscle Mass,Weight & Body Composition,Curcumin,39934549,IBD
Peridontitis,Oral Health,Curcumin; Docosahexaenoic acid (DHA); Eicosapentaenoic acid (EPA); Grape seed extract; Iodine; Melatonin; Resveratrol,29349878; 32867199; 35758374; 36973728; 38764161; 38953482; 39948592; 40258261; 40523816; 40884630,Diabetes; Smokers
Systemic Lupus Erythematosus,"Cognitive & Neurological Function; Immune, Inflammation, & Infection",Docosahexaenoic acid (DHA); N-Acetylcysteine (NAC),33303222; 36810107; 38091778,
Eye Health,Vision & Eye Health,Docosahexaenoic acid (DHA); Lutein; Zeaxanthin,17084803; 18551295; 25468896; 27273910; 29185931; 30044439; 32544914; 32581313; 32998324; 34684356; 34684614; 36961139; 38794653,Menopause; Mypoia; Women
Increased Breast Milk Supply,Women's Health,Docosahexaenoic acid (DHA),33339438,Lactating; Women
Power,Performance & Recovery,Docosahexaenoic acid (DHA); Taurine,28338362; 28945675; 30776254; 32466231; 33087145; 35213817; 36297081; 37024995; 38406865,Boxers; Cycling; Men; Rugby Players; Sprinting; Women
Low Testosterone,Men's Health,Docosahexaenoic acid (DHA); Fenugreek; Panax ginseng,30543483; 33221700; 39288153,
High Resting Heart Rate,Heart & Vascular Health,Docosahexaenoic acid (DHA),35953431,Pregnant; Women
Keratoconus,Vision & Eye Health,Docosahexaenoic acid (DHA),36904299,
Epilepsy,Cognitive & Neurological Function,Eicosapentaenoic acid (EPA),30170260,
Low Insulin,Metabolic Health,Eicosapentaenoic acid (EPA),28378851,Diabetes Type 1
Joint Flexibility,Musculoskeletal & Pain,Eicosapentaenoic acid (EPA); Undenatured type II collagen,33648546; 35377244,
Oral Precancerous Lesions,Oral Health,Fenugreek; Vitamin D; Zinc,39873252; 40457259,Leukoplakia; Lichen Planus; Submucous Fibrosis
Atrophic Vaginitis,Women's Health,Fenugreek,32640956,Menopause; Women
Dyspepsia,Gut Health,Garlic; Peppermint oil; Probiotics (Bifidobacterium),11121917; 30238636; 38172093,
Erectile Dysfunction,Men's Health,Garlic; L-Arginine; L-Citrulline; Maca; Panax ginseng; Tongkat Ali,19234482; 19260845; 21195829; 31267684; 31326304; 32441833; 33541567; 34973154; 34983126; 39250620,
Elevated Liver Enzymes,Gut Health,Garlic; Inositol; Nicotinamide Riboside,27743130; 32312333; 36082508; 36963888,Fatty Liver Disease
Nausea,Gut Health,Ginger; Lavender; Peppermint oil; Vitamin B6 (Pyridoxine),19509551; 31745695; 31834519; 32705833; 33197662; 33788482; 35304019; 37699474; 37774171; 37891539; 38461442; 39020488; 39447066; 39729294; 40154579,Cancer; Chemotherapy; Multiple Sclerosis; Postoperative
Allergic Rhinitis,"Immune, Inflammation, & Infection",Ginger,32312261,
Multiple Sclerosis,Cognitive & Neurological Function,Ginger; Saffron; Vitamin B7 (Biotin),25787192; 27589059; 32615663; 36974730,
Eye Fatigue,Vision & Eye Health,Ginger,39203851,
Atopic Dermatitis,"Skin, Hair, & Nails",Ginger,39193679,
Oral Mucositis,Oral Health,Ginger; L-Arginine,40134126; 40603739,Cancer
Joint Protection,Healthy Aging & Prevention,Glucosamine,26806185; 30132529,Overweight; Women
Neck Pain,Musculoskeletal & Pain,Glucosamine,30203748,Cervical Spondylosis
Cystic Fibrosis,Respiratory Health,Glycine,29246256,
Parkinson's Disease Neuropsychiatric Symptoms,"Energy, Mood, & Mental Health",Glycine,24612097,Parkinson's Disease
Excessive Hair Growth,"Skin, Hair, & Nails",Glycine,33934471,
High Uric Acid,Heart & Vascular Health,Glycine; Resveratrol,30845731; 31652875; 36771199,
Psychosis,"Energy, Mood, & Mental Health",Glycine; Taurine,27835719; 31279534,
Vaginal Dryness,Women's Health,Glycine,24856055,Menopause; Women
Leg Swelling,Musculoskeletal & Pain,Grape seed extract,22752876,Women
Exercise Performance,Performance & Recovery,Grape seed extract; L-Citrulline; Magnesium; Panax ginseng; Vitamin D,16355078; 24525046; 25665208; 28940638; 32379240; 36361103; 38785940; 40077784; 40618056,Basketball Players; Eisenmenger Syndrome; Older Adults; Pulmonary Hypertension; Running
Venous Leg Ulcers,"Skin, Hair, & Nails",Hibiscus,31298659,
Infertiliy,Women's Health,Inositol,36754158,Women
Gestational Diabetes Prevention,Women's Health,Inositol,35277398; 35686634; 39141124,Overweight; Pregnant; Women
Dysmenorrhea,Women's Health,Inositol; Lavender; Vitamin B1 (Thiamine),25363189; 31298405; 34624138; 37931721; 39847053,PCOS; Women
Acne,"Skin, Hair, & Nails",L-Arginine; Panax ginseng; Vitamin K1,29360920; 30307464; 30506753; 31347768,
Anal Fissures,Gut Health,L-Arginine,36449096,
Heart Failure,Heart & Vascular Health,L-Arginine,33610421,
COPD,Respiratory Health,L-Arginine; N-Acetylcysteine (NAC); Nicotinamide Riboside; Panax ginseng; Vitamin C,21718484; 27117852; 39548320; 40316462,Men
Kidney Stones,Kidney & Bladder Health,L-Arginine; Magnesium,39206631; 39913253; 40498114,
Sciatic Pain,Musculoskeletal & Pain,L-Carnitine; Resveratrol; Vitamin B1 (Thiamine),38138300; 39683579,
Fibromyalgia,Musculoskeletal & Pain,L-Carnitine,37378482,
Carpal Tunnel Syndrome,Musculoskeletal & Pain,L-Carnitine; Phosphatidylserine,37366197,
Graves' Disease,Metabolic Health,L-Carnitine; Selenium,40871722,Diabetes Type 2; Women
Stroke Recovery,Cognitive & Neurological Function,L-Carnitine; N-Acetylcysteine (NAC); Saffron; Vitamin B12 (Cobalamin),29071932; 33151132; 35936217; 38212360,
Gut Injury During Exercise,Performance & Recovery,L-Citrulline,24621960,
Becker Muscular Dystrophy,Musculoskeletal & Pain,L-Citrulline,30003335; 34579009,Older Adults
Focus,Cognitive & Neurological Function,L-Theanine; Lutein,18296328; 18681988; 20079786; 21040626; 29420994; 32777998; 36263942; 37364683; 39052627,Multiple Sclerosis
Sensorimotor Gating,Cognitive & Neurological Function,L-Theanine,24372613; 37815006,Curlers
Thermoregulation,Performance & Recovery,L-Tyrosine; Taurine,28477375; 31609301; 38582816,Older Adults
Fear of Heights,Cognitive & Neurological Function,Lavender,33305625,Multiple Sclerosis
Postherpetic Neuralgia,Musculoskeletal & Pain,Lavender; Vitamin B12 (Cobalamin),24196971; 38267936,Herpes
Restless Legs Syndrome,Musculoskeletal & Pain,Lavender; Vitamin B6 (Pyridoxine),33838094; 34779137; 36587225,CKD; Hemodialysis
Macular Degeneration,Vision & Eye Health,Lutein; Vitamin B6 (Pyridoxine); Zeaxanthin,19237716; 22027699; 22743321; 23695657; 24310343; 32249850; 35653117; 39025435,
General Cognitive Health,Healthy Aging & Prevention,Lutein; Zeaxanthin,30680611,
Visual Processing Speed,Cognitive & Neurological Function; Performance & Recovery,Lutein; Zeaxanthin,25251377; 25483230; 30950580,
Increase Ocular Blood Flow,Vision & Eye Health,Lutein,30932775,
Improved Breast Milk Quality,Women's Health,Lutein,33339438,Pregnant; Women
High Total Cholesterol,Heart & Vascular Health,Magnesium,39410716,Diabetes Type 2
Pelvic Pain,Women's Health,Melatonin,40238733,Endometriosis
Delirium Prevention,Cognitive & Neurological Function,Melatonin,39800236,Critically Ill Patients
Gait Problems,Cognitive & Neurological Function,Melatonin,39122092,Multiple Sclerosis
Amyloid Angiopathy,Heart & Vascular Health,N-Acetylcysteine (NAC),40163249,
HIV,"Immune, Inflammation, & Infection",N-Acetylcysteine (NAC),29392418,
Addiction,"Energy, Mood, & Mental Health",N-Acetylcysteine (NAC),40352229,
Immune Preservation,"Healthy Aging & Prevention; Immune, Inflammation, & Infection",N-Acetylcysteine (NAC); Vitamin D,40421021,Older Adults
Healthy Aging,Healthy Aging & Prevention,Nicotinamide Riboside; Nicotinamide mononucleotide; Selenium; Vitamin D,29211728; 31685720; 37443807; 38960007; 40409468; 40459998,Older Adults; Werner Syndrome
Neurodegenerative Disease Prevention,Healthy Aging & Prevention,Nicotinamide Riboside,36515353,
Neuroprotection,Cognitive & Neurological Function,Nicotinamide Riboside,35235774,Parkinson's Disease
Parkinson's Disease,Cognitive & Neurological Function,Nicotinamide Riboside; Vitamin B3 (Niacin); Vitamin D,29759143; 38016950; 40646117,
Peripheral Artery Disease,Heart & Vascular Health,Nicotinamide Riboside,38871717,
ADHD,"Energy, Mood, & Mental Health",Panax ginseng; Phosphatidylserine,22435351; 23495677,
Calmness,"Energy, Mood, & Mental Health",Panax ginseng; Phosphatidylserine,17457961; 20737519; 39317299,
Fibromyalgia Pain,Musculoskeletal & Pain,Panax ginseng,23567596,Fibromyalgia
Improve Social Functioning,"Energy, Mood, & Mental Health",Panax ginseng,11895046,
Working Memory Performance,Cognitive & Neurological Function,Panax ginseng,20737519,
Genitourinary Syndrome,Women's Health,Panax ginseng,33730722,Menopause; Women
Gastric Motility,Gut Health,Peppermint oil,10641042; 12562459; 12601675; 17653649,
IBS,Gut Health,Peppermint oil; Probiotics (Bifidobacterium); Vitamin D,17420159; 19507027; 23416804; 26319955; 31470006; 34468079; 36717369; 40431448,IBS
Cough,Respiratory Health,Probiotic (Akkermansia),39683507,
Metabolic Syndrome,Metabolic Health,Probiotic (Akkermansia); Probiotics (Bifidobacterium); Resveratrol,33477821; 36125447; 37086927; 39792908,
Constipation,Gut Health,Probiotics (Bifidobacterium); Probiotics (Lactobacillus),38794748; 39244201; 40033155,Postoperative
Mental Wellness,"Energy, Mood, & Mental Health",Probiotics (Bifidobacterium),38869657; 40499217,
Dandruff,"Skin, Hair, & Nails",Probiotics (Bifidobacterium),36862071,
General Gut Health,Gut Health,Probiotics (Bifidobacterium); Probiotics (Lactobacillus),39519413; 40383259,Obese; Overweight
Bacterial Vaginosus,Women's Health,Probiotics (Lactobacillus),38336815; 38733973,Menopause; Women
Common Cold,"Immune, Inflammation, & Infection",Probiotics (Lactobacillus),37892533; 39796535,
H. Pylori Infection,Gut Health,Probiotics (Lactobacillus),38022520; 39023173,
Abdominal Discomfort,Gut Health,Probiotics (Lactobacillus),39339788,
Gingivitis,Oral Health,Probiotics (Lactobacillus),37974136,
Vaginal HPV,"Immune, Inflammation, & Infection",Probiotics (Lactobacillus),39058300,
Liver Dysfunction,Gut Health,Probiotics (Lactobacillus); Zinc,38617455; 39205654; 39789197,HBV; HCV
Canker Sores,Oral Health,Probiotics (Lactobacillus),38114936,
Fatty LIver Disease,Gut Health,Probiotics (Lactobacillus); Vitamin E,39046973; 39970876; 40202706; 40383220; 40480879; 40564891,Diabetes Type 2
Vaginal Health,Women's Health,Probiotics (Lactobacillus),40772934,Women
Alzheimer's Disease,Cognitive & Neurological Function,Resveratrol; Vitamin B12 (Cobalamin); Vitamin E,11424170; 11723153; 34101780; 36093704; 37334792; 40507855,Cobalamin Deficiency; Older Adults
Vascular Health,Heart & Vascular Health,Resveratrol,39317438,Marfan Syndrome
General Oral Health,Oral Health,Resveratrol; Zinc,38367826; 40057571; 40691696,
Rosacea,"Skin, Hair, & Nails",Resveratrol,35765796,
Anaerobic Capacity,Performance & Recovery,Rhodiola Rosea,15256690; 20308973; 23443221; 30371146,
HIgh Total Cholesterol,Heart & Vascular Health,Saffron,33496985; 35235859,Men; Older Adults
Graves' Orbitopathy,Vision & Eye Health,Selenium,38200401; 38374579,
Hair Loss,"Skin, Hair, & Nails",Selenium; Vitamin B7 (Biotin),35791704; 37357646,Alopecia
Seborrheic Dermatitis,"Skin, Hair, & Nails",Selenium,37098774,
Academic Performance,Cognitive & Neurological Function,Taurine,35882814,
Muscle Cramps,Musculoskeletal & Pain,Taurine; Vitamin B7 (Biotin); Vitamin K2,22791079; 30136291; 33381931; 35203045; 39466236,CKD; Chronic Liver Disease; Cirrhosis; Hemodialysis
Tics,"Energy, Mood, & Mental Health",Taurine,31618495,
Muscloskeletal Pain,Musculoskeletal & Pain,Vitamin B1 (Thiamine); Vitamin B6 (Pyridoxine),38842764,Cervical Sprain
Vaginal Bleeding,Women's Health,Vitamin B1 (Thiamine),24738933,IUD Use; Women
Postherpetic Itching,"Skin, Hair, & Nails",Vitamin B12 (Cobalamin),23887347,Herpes
High Lpa,Heart & Vascular Health,Vitamin B3 (Niacin),25936305; 26289089,
Glaucoma,Vision & Eye Health,Vitamin B3 (Niacin),32721104,
Cataracts,Vision & Eye Health,Vitamin B6 (Pyridoxine),26786311,
Dream Recall,Sleep,Vitamin B6 (Pyridoxine),29665762,
Nausea & Vomiting During Pregnancy,Women's Health,Vitamin B6 (Pyridoxine),17621727; 20843504; 25052410; 25884778; 27881103; 28052111; 28375108; 28629250; 28631509; 29342163; 37335994,Pregnant; Women
Hand-Foot Syndrome,Musculoskeletal & Pain,Vitamin B6 (Pyridoxine),33227569,Chemotherapy
Tardive Dyskinesia,Cognitive & Neurological Function,Vitamin B6 (Pyridoxine),18052557,
Brittle Nails,"Skin, Hair, & Nails",Vitamin B7 (Biotin),31344296,
Mania,"Energy, Mood, & Mental Health",Vitamin B9 (Folate),40200764,Bipolar Disorder I
Folate Deficiency,Women's Health,Vitamin B9 (Folate),37649241,Pregnant; Women
Periorbital Hyperpigmentation,"Skin, Hair, & Nails",Vitamin C,39279329,
Improved Color Vision,Vision & Eye Health,Zeaxanthin,16460314,
Skin Hydration,"Skin, Hair, & Nails",Zeaxanthin,27312122,
Liver Protection,Gut Health,Zinc,39610253,
Alcoholic Hepatitis,Gut Health,Zinc,38342441,
Tooth Sensitivity,Oral Health,Zinc,39572408; 40517062,
