supplement,contraindications,condition,problem_category,category,category_source,indication_summary,indication_summary_confidence,pmid,year,title,study_design,outcome_direction,notes,doses,demographics,study_categories,source_conditions,original_labels,evidence_tier_study,evidence_tier_confidence,evidence_tier_rationale
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,High Blood Glucose,,Metabolic Health,manual_pair,"Curcumin supplementation at a dose of 80 mg daily for 12 weeks demonstrated a beneficial effect on glucose homeostasis in a pilot study involving prediabetic older adults. However, this evidence is based on a single randomized trial, and further research is needed to confirm these findings and assess long-term effects and safety.",0.8,40647269,2025,"Twelve-Week Curcumin Supplementation Improves Glucose Homeostasis and Gut Health in Prediabetic Older Adults: A Pilot, Double-Blind, Placebo-Controlled Trial.",randomized_controlled_trial,benefit,"Curcumin supplementation showed significant improvement in glucose homeostasis markers, indicating a beneficial effect in prediabetic older adults.",80 mg daily 12 weeks (capsules),Prediabetes,,prediabetes,Type 2 Diabetes Mellitus; prediabetes,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Cardiac Risk,,Heart & Vascular Health,manual_pair,"Curcumin supplementation appears to provide consistent benefits for individuals with type 2 diabetes, as evidenced by five randomized controlled trials demonstrating improvements in glucose levels, β-cell function, inflammation, and cardiovascular risk factors. Reported doses varied, with common ranges including 80 mg to 1500 mg daily. All studies noted mild adverse effects, indicating that curcumin is generally well tolerated.",1.0,40759997,2025,Curcumin supplementation improves the clinical outcomes of patients with diabetes and atherosclerotic cardiovascular risk.,randomized_controlled_trial,benefit,Curcumin supplementation showed significant improvements in various cardiovascular risk factors and was well tolerated with mild adverse effects.,500 mg thrice daily (Turmeric curcumin®),,,atherosclerotic cardiovascular disease,Type 2 Diabetes Mellitus; atherosclerotic cardiovascular disease; insulin resistance; metabolic dysfunction-associated steatotic liver disease; obesity,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Cardiac Risk,,Heart & Vascular Health,manual_pair,"Curcumin supplementation appears to provide consistent benefits for individuals with type 2 diabetes, as evidenced by five randomized controlled trials demonstrating improvements in glucose levels, β-cell function, inflammation, and cardiovascular risk factors. Reported doses varied, with common ranges including 80 mg to 1500 mg daily. All studies noted mild adverse effects, indicating that curcumin is generally well tolerated.",1.0,39354480,2024,Curcumin extract improves beta cell functions in obese patients with type 2 diabetes: a randomized controlled trial.,randomized_controlled_trial,benefit,"The study reports significant improvements in glucose levels and β-cell function, indicating a beneficial effect of curcumin in type 2 diabetes patients.",1500 mg daily 12 months,Diabetes Type 2,,insulin resistance,Type 2 Diabetes Mellitus; atherosclerotic cardiovascular disease; insulin resistance; metabolic dysfunction-associated steatotic liver disease; obesity,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Cardiac Risk,,Heart & Vascular Health,manual_pair,"Curcumin supplementation appears to provide consistent benefits for individuals with type 2 diabetes, as evidenced by five randomized controlled trials demonstrating improvements in glucose levels, β-cell function, inflammation, and cardiovascular risk factors. Reported doses varied, with common ranges including 80 mg to 1500 mg daily. All studies noted mild adverse effects, indicating that curcumin is generally well tolerated.",1.0,40573083,2025,Curcumin for Inflammation Control in Individuals with Type 2 Diabetes Mellitus and Metabolic Dysfunction-Associated Steatotic Liver Disease: A Randomized Controlled Trial.,randomized_controlled_trial,benefit,"Curcumin showed significant improvements in inflammation and liver parameters, indicating a beneficial effect in the studied conditions.",1500 mg daily 12 months,Diabetes Type 2; Fatty Liver Disease,,metabolic dysfunction-associated steatotic liver disease,Type 2 Diabetes Mellitus; atherosclerotic cardiovascular disease; insulin resistance; metabolic dysfunction-associated steatotic liver disease; obesity,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Cardiac Risk,,Heart & Vascular Health,manual_pair,"Curcumin supplementation appears to provide consistent benefits for individuals with type 2 diabetes, as evidenced by five randomized controlled trials demonstrating improvements in glucose levels, β-cell function, inflammation, and cardiovascular risk factors. Reported doses varied, with common ranges including 80 mg to 1500 mg daily. All studies noted mild adverse effects, indicating that curcumin is generally well tolerated.",1.0,40481568,2025,Effect of adding fenofibrate versus curcumin to glimepiride in patients with type 2 diabetes: a randomized controlled trial.,randomized_controlled_trial,benefit,Both fenofibrate and curcumin showed benefits in improving lipid profiles and inflammatory markers in patients with type 2 diabetes.,1100 mg once daily three months (oral); 160 mg once daily three months (oral); 4 mg once daily three months (oral),Diabetes Type 2,,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus; atherosclerotic cardiovascular disease; insulin resistance; metabolic dysfunction-associated steatotic liver disease; obesity,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Cardiac Risk,,Heart & Vascular Health,manual_pair,"Curcumin supplementation appears to provide consistent benefits for individuals with type 2 diabetes, as evidenced by five randomized controlled trials demonstrating improvements in glucose levels, β-cell function, inflammation, and cardiovascular risk factors. Reported doses varied, with common ranges including 80 mg to 1500 mg daily. All studies noted mild adverse effects, indicating that curcumin is generally well tolerated.",1.0,38589346,2024,The effect of curcumin and high-content eicosapentaenoic acid supplementations in type 2 diabetes mellitus patients: a double-blinded randomized clinical trial.,randomized_controlled_trial,benefit,"The study shows significant benefits in reducing insulin levels and improving metabolic parameters, indicating a positive effect of curcumin supplementation.",80 mg daily 12 weeks (nano-curcumin),Diabetes Type 2,,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus; atherosclerotic cardiovascular disease; insulin resistance; metabolic dysfunction-associated steatotic liver disease; obesity,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Atherosclerosis,,Heart & Vascular Health,manual_pair,"Current evidence from a randomized controlled trial indicates that curcumin may reduce atherogenic risks and improve cardiometabolic biomarkers in obese patients with type 2 diabetes, suggesting a potential benefit for lowering high LDL cholesterol. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.7,39125322,2024,The Effect of Curcumin on Reducing Atherogenic Risks in Obese Patients with Type 2 Diabetes: A Randomized Controlled Trial.,randomized_controlled_trial,benefit,"The study found significant reductions in atherogenic risks and cardiometabolic biomarkers, indicating a beneficial effect of curcumin.",12 months,Diabetes Type 2; Obese,,atherosclerosis,Type 2 Diabetes Mellitus; atherosclerosis; obesity,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Fatty Liver Disease,,Gut Health,manual_pair,"Curcumin supplementation at a dose of 500 mg daily for 24 weeks has shown a beneficial effect in reducing hepatic fat content in patients with nonalcoholic simple fatty liver disease, according to a randomized controlled trial. However, the overall evidence is limited, with only one study reporting positive outcomes and no data on potential adverse effects or long-term efficacy.",0.7,38795741,2024,Curcumin supplementation alleviates hepatic fat content associated with modulation of gut microbiota-dependent bile acid metabolism in patients with nonalcoholic simple fatty liver disease: a randomized controlled trial.,randomized_controlled_trial,benefit,"Curcumin significantly reduced hepatic fat content and improved various metabolic parameters, indicating a beneficial effect.",500 mg daily 24 weeks,,,nonalcoholic simple fatty liver disease,nonalcoholic simple fatty liver disease,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,High Triglycerides,,Heart & Vascular Health,manual_pair,"One randomized trial reported that curcumin-piperine supplementation (500 mg for 12 weeks) significantly reduced triglyceride levels in patients with type 2 diabetes and hypertriglyceridemia, indicating a potential benefit. However, the overall evidence is limited to this single study, and further research is needed to confirm these findings and assess long-term effects and safety.",0.7,39165011,2024,"The effect of curcumin-piperine supplementation on lipid profile, glycemic index, inflammation, and blood pressure in patients with type 2 diabetes mellitus and hypertriglyceridemia.",randomized_controlled_trial,benefit,"The study showed significant reductions in triglycerides and fasting blood glucose, indicating a benefit from curcumin-piperine supplementation.",500 mg 12 weeks (tablet),Diabetes Type 2,"Immune, Inflammation, & Infection; Metabolic Health",hypertriglyceridemia,Type 2 Diabetes Mellitus; hypertriglyceridemia,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Inflammation,,"Immune, Inflammation, & Infection",manual_pair,"One randomized placebo-controlled trial reported that curcumin supplementation at a dose of 1000 mg daily for 10 weeks significantly reduced inflammatory markers, including anti-ds DNA and IL-6 levels, in patients with systemic lupus erythematosus. However, the overall evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.7,39546036,2024,The effects of curcumin supplementation on inflammatory markers in systemic lupus erythematosus patients: a randomized placebo-controlled trial.,randomized_controlled_trial,benefit,"Curcumin supplementation significantly reduced anti-ds DNA and IL-6 levels, indicating a beneficial effect on inflammation in SLE patients.",1000 mg daily 10 weeks,Systemic Lupus Erythematosus,,systemic lupus erythematosus,systemic lupus erythematosus,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Chronic Kidney Disease,,Kidney & Bladder Health,manual_pair,"One randomized trial suggests that phospholipid curcumin (Meriva) may improve GLP-2 response and related outcomes in patients with metabolic dysfunction-associated steatohepatitis (MASH), indicating a potential benefit for kidney injury. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.7,39620369,2024,"Impaired postprandial GLP-2 response enhances endotoxemia, systemic inflammation, and kidney injury in metabolic dysfunction-associated steatohepatitis (MASH): effect of phospholipid curcumin meriva.",randomized_controlled_trial,benefit,"The study shows that curcumin may improve GLP-2 response and related outcomes in MASH patients, indicating a potential benefit.",72 weeks (phospholipid curcumin meriva),Fatty Liver Disease,,chronic kidney disease,chronic kidney disease; metabolic dysfunction-associated steatohepatitis,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Osteoarthritis,,Musculoskeletal & Pain,manual_pair,"Current evidence from a randomized trial indicates that curcumin may have a beneficial effect on knee pain in patients with osteoarthritis, as demonstrated by significant changes in gene expression related to Th17 function. However, the evidence is limited to a single study, and no adverse effects were reported. Further research is needed to confirm these findings and establish consistent dosing guidelines.",0.7,39586746,2024,The Immunomodulatory Effects of Curcumin on Forkhead Box O1 and MicroRNA-873 in Patients with Osteoarthritis.,randomized_controlled_trial,benefit,"The study shows a significant increase in gene expression related to Th17 function, indicating a beneficial effect of curcumin in OA patients.",3 months,,,knee osteoarthritis,knee osteoarthritis; osteoarthritis,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,COVID-19,,"Immune, Inflammation, & Infection",manual_pair,"One randomized, double-blind, placebo-controlled trial reported a benefit of curcumin in patients with mild COVID-19 symptoms, showing a reduction in disease progression and antipyretic medication use with a dose of 360 mg (curcuRouge®) twice daily for 7 days. However, the overall evidence is limited to this single study, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.7,38915116,2024,"Efficacy of highly bioavailable oral curcumin in asymptomatic or mild COVID-19 patients: a double-blind, randomized, placebo-controlled trial.",randomized_controlled_trial,benefit,"The study shows a reduction in disease progression and antipyretic medication use, indicating a beneficial effect of curcumin.",360 mg twice daily 7 days (curcuRouge®),,,asymptomatic covid-19,asymptomatic covid-19; covid-19; mild covid-19,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Increase Muscle Mass,,Weight & Body Composition,manual_pair,"One randomized, double-blind, placebo-controlled trial reported that curcumin combined with piperine (1000 mg and 10 mg daily, respectively) improved body composition and muscle mass in patients with inflammatory bowel disease. Overall evidence is limited to this single study, and further research is needed to confirm these findings and assess long-term effects and safety.",0.7,39934549,2025,"Curcumin plus piperine improve body composition in patients with inflammatory bowel disease: a randomized, double-blind, placebo-controlled clinical trial.",randomized_controlled_trial,benefit,"The study shows significant improvements in body composition and muscle mass in patients with IBD, indicating a beneficial effect of curcumin plus piperine.",1000 mg daily 12 weeks (oral supplementation); 10 mg daily 12 weeks (oral supplementation with piperine),IBD,,inflammatory bowel disease,inflammatory bowel disease,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Exercise Induced Inflammation,,Performance & Recovery,manual_pair,"Current evidence on curcumin for muscle soreness after exercise is mixed, with one study indicating that higher doses (750 mg and 1500 mg, taken twice daily for 7 days) may improve biochemical recovery but could impair performance recovery. No consistent benefits have been established, and further research is needed to clarify its effects.",0.7,40781899,2025,"The dose-response effects of hydrolyzed curcumin on recovery, inflammation, and oxidative stress following exercise-induced muscle damage in males.",randomized_controlled_trial,mixed_unclear,The study shows mixed outcomes; higher doses improved biochemical recovery but may have impaired performance recovery.,750 mg 2 times/day 7 days (gel sachets); 1500 mg 2 times/day 7 days (gel sachets),Men,,exercise-induced muscle damage,exercise-induced muscle damage; inflammation; oxidative stress,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Fatty Liver Disease,,Gut Health,manual_pair,"Curcumin supplementation has shown a beneficial effect in preventing tamoxifen-induced nonalcoholic fatty liver disease (NAFLD) in a specific population of ER+ breast cancer patients, based on a triple-blind randomized placebo-controlled trial that used a dose of 500 mg daily for 6 months. However, the evidence is limited to this single study, and further research is needed to establish broader efficacy and safety in other populations.",0.7,39948699,2025,Curcumin Supplementation as a Preventive Strategy Against Tamoxifen-Induced Nonalcoholic Fatty Liver Disease in ER+ Breast Cancer Patients: A Triple-Blind Randomized Placebo-Controlled Trial.,randomized_controlled_trial,benefit,"Curcumin showed a protective effect against tamoxifen-induced NAFLD, indicating a benefit in the studied population.",500 mg daily 6 months,Cancer,,breast cancer,breast cancer; nonalcoholic fatty liver disease,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Peridontitis,,Oral Health,manual_pair,"One randomized trial reported a benefit of liposomal curcumin gel in improving clinical and biochemical parameters in diabetic patients with periodontitis over 6 and 12 weeks. However, the overall evidence is limited, with only one study available, and further research is needed to confirm these findings and assess long-term effects and safety.",0.7,38953482,2024,Sustained Release of Liposomal Curcumin: Enhanced Periodontal Outcomes in Diabetic Patients.,randomized_controlled_trial,benefit,"The study shows significant improvement in clinical and biochemical parameters, indicating a benefit from the treatment with liposomal curcumin.",6 and 12 weeks (liposomal curcumin gel),Diabetes,,diabetes,diabetes; periodontitis,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Weight Loss,,Weight & Body Composition,manual_pair,"One randomized clinical trial reported a beneficial effect of curcumin (80 mg of nanocurcumin soft gel capsule) in improving health parameters in women with polycystic ovary syndrome over 12 weeks. However, the overall evidence is limited, with only one study available, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.7,39461199,2024,Effects of metformin and curcumin in women with polycystic ovary syndrome: A factorial clinical trial.,randomized_controlled_trial,benefit,"The study shows significant improvements in various health parameters, indicating a beneficial effect of curcumin in the treatment of PCOS.",80 mg 8 h 12 weeks (nanocurcumin soft gel capsule),PCOS; Women,Heart & Vascular Health; Metabolic Health,polycystic ovary syndrome,polycystic ovary syndrome,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Depression,,"Energy, Mood, & Mental Health",manual_pair,"One double-blind randomized placebo-controlled trial has reported a beneficial effect of curcumin (500 mg once daily for eight weeks) on postpartum anxiety and depression scores in primiparous women. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term safety and efficacy.",0.7,40281561,2025,The effect of curcumin on postpartum depression and anxiety in primiparous women: a double-blind randomized placebo-controlled clinical trial.,randomized_controlled_trial,benefit,"The study shows significant improvement in postpartum depression and anxiety scores, indicating a beneficial effect of curcumin.",500 mg once daily eight weeks (capsules),,,postpartum anxiety,postpartum anxiety; postpartum depression,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Rheumatoid Arthritis,,Musculoskeletal & Pain,manual_pair,"Curcumin supplementation at a dose of 500 mg daily for 8 weeks has shown a benefit in improving serum total antioxidant capacity and reducing disease activity scores in women with rheumatoid arthritis, according to a randomized, double-blind, placebo-controlled trial. However, the overall evidence is limited, with only one study reporting positive outcomes and no data on potential adverse effects or long-term efficacy.",0.7,38699839,2024,"The efficacy of curcumin supplementation on serum total antioxidant capacity, malondialdehyde, and disease activity in women with rheumatoid arthritis: A randomized, double-blind, placebo-controlled clinical trial.",randomized_controlled_trial,benefit,Curcumin supplementation significantly improved serum TAC and reduced disease activity scores in women with RA.,500 mg daily 8 weeks (capsule),Women,,rheumatoid arthritis,rheumatoid arthritis,,,
Curcumin,Higher incidence of adverse events in curcumin group compared to control group.; diarrhea; headache; mild adverse drug reaction observed in three cases of the curcumin group and one case of group A; minor gastrointestinal adverse effects reported by 7.1% of patients; nausea; potentially impairing performance recovery; significantly more vomiting in the curcumin group; yellow stool,Peridontitis,,Oral Health,manual_pair,"One randomized clinical trial demonstrated that a 0.2% curcumin mouthwash used twice daily for 20 days significantly reduced Streptococcus mutans levels compared to chlorhexidine, indicating a potential benefit. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term effects and safety.",0.7,40258261,2025,Comparison of the antimicrobial effects of 0.2% curcumin mouthwash and chlorhexidine mouthwash on Streptococcus mutans in orthodontic patients: a randomized clinical trial.,randomized_controlled_trial,benefit,"The study shows that curcumin mouthwash significantly reduced S mutans more than chlorhexidine after 20 days, indicating a benefit.",0.2 % twice daily 20 days (mouthwash),,,streptococcus mutans,streptococcus mutans,,,
Docosahexaenoic acid (DHA),adverse effect on behavioral functioning; gastrointestinal symptoms; higher risk of gestational diabetes associated with DHA supplementation; higher risk of obesity in high-DHA group; less rested compared to placebo; participants reported feeling less energetic; possible adverse effect on language of females at 1.5 years,Depression,,"Energy, Mood, & Mental Health",manual_pair,"The evidence regarding docosahexaenoic acid (DHA) supplementation for anxiety is mixed and unclear, based on a single randomized controlled trial that reported positive effects on anxiety in a specific subgroup (APOE ɛ4 carriers) but no overall effect on cognition. The study utilized a daily dose of 1491 mg of DHA from a fish oil supplement over 12 months. No adverse effects were reported, but the limited and mixed nature of the evidence suggests caution in interpretation.",0.7,35373862,2022,The effects of docosahexaenoic acid supplementation on cognition and well-being in mild cognitive impairment: A 12-month randomised controlled trial.,randomized_controlled_trial,mixed_unclear,"The study found no effect on cognition but positive effects on depression and anxiety in APOE ɛ4 carriers, indicating mixed outcomes.",1491 mg daily 12 months (fish oil supplement),,Heart & Vascular Health,anxiety,anxiety; depression; mild cognitive impairment,,,
Docosahexaenoic acid (DHA),adverse effect on behavioral functioning; gastrointestinal symptoms; higher risk of gestational diabetes associated with DHA supplementation; higher risk of obesity in high-DHA group; less rested compared to placebo; participants reported feeling less energetic; possible adverse effect on language of females at 1.5 years,Systemic Lupus Erythematosus,,"Immune, Inflammation, & Infection",manual_pair,"The evidence for docosahexaenoic acid (DHA) in reducing chronic inflammation is limited and mixed. One randomized trial reported a beneficial effect on pro-inflammatory cytokines with a dose of 3 g daily for 10 weeks, while another study indicated mixed outcomes regarding gene expression related to inflammation. No studies reported harm or no benefit, but the overall quality and consistency of the evidence are low.",0.7,33303222,2021,"EPA and DHA differentially modulate monocyte inflammatory response in subjects with chronic inflammation in part via plasma specialized pro-resolving lipid mediators: A randomized, double-blind, crossover study.",randomized_controlled_trial,benefit,"DHA showed a broader effect in attenuating pro-inflammatory cytokines, indicating a beneficial outcome.",3 g daily 10 weeks,,,chronic inflammation,chronic inflammation; low-grade chronic inflammation,,,
Docosahexaenoic acid (DHA),adverse effect on behavioral functioning; gastrointestinal symptoms; higher risk of gestational diabetes associated with DHA supplementation; higher risk of obesity in high-DHA group; less rested compared to placebo; participants reported feeling less energetic; possible adverse effect on language of females at 1.5 years,Systemic Lupus Erythematosus,,"Immune, Inflammation, & Infection",manual_pair,"The evidence for docosahexaenoic acid (DHA) in reducing chronic inflammation is limited and mixed. One randomized trial reported a beneficial effect on pro-inflammatory cytokines with a dose of 3 g daily for 10 weeks, while another study indicated mixed outcomes regarding gene expression related to inflammation. No studies reported harm or no benefit, but the overall quality and consistency of the evidence are low.",0.7,38091778,2024,Monocyte transcriptomic profile following EPA and DHA supplementation in men and women with low-grade chronic inflammation.,randomized_controlled_trial,mixed_unclear,"The study shows both similar and differential effects of DHA and EPA on gene expression related to inflammation, indicating mixed outcomes.",3 g daily (DHA),,,low-grade chronic inflammation,chronic inflammation; low-grade chronic inflammation,,,
Docosahexaenoic acid (DHA),adverse effect on behavioral functioning; gastrointestinal symptoms; higher risk of gestational diabetes associated with DHA supplementation; higher risk of obesity in high-DHA group; less rested compared to placebo; participants reported feeling less energetic; possible adverse effect on language of females at 1.5 years,Cognitive Performance,,Cognitive & Neurological Function,manual_pair,"Current evidence from a single randomized trial suggests that docosahexaenoic acid (DHA) may prevent age-related cognitive decline when consumed at a dose of 297 mg daily for 12 months. However, the overall evidence is limited, with only one study reporting a benefit and no adverse effects noted. Further research is needed to confirm these findings and assess long-term effects.",0.7,34759112,2021,Intake of Docosahexaenoic Acid-Enriched Milk Beverage Prevents Age-Related Cognitive Decline and Decreases Serum Bone Resorption Marker Levels.,randomized_controlled_trial,benefit,"The study shows that DHA intake prevents cognitive decline and may benefit bone health, indicating a positive outcome.",297 mg daily 12 months (milk beverage),,Healthy Aging & Prevention,bone health,bone health; cognitive decline; dementia,,,
Docosahexaenoic acid (DHA),adverse effect on behavioral functioning; gastrointestinal symptoms; higher risk of gestational diabetes associated with DHA supplementation; higher risk of obesity in high-DHA group; less rested compared to placebo; participants reported feeling less energetic; possible adverse effect on language of females at 1.5 years,Dementia Prevention,,Healthy Aging & Prevention,manual_pair,"The evidence for docosahexaenoic acid (DHA) in improving cognitive function in individuals with mild cognitive impairment is mixed. Three studies reported benefits with doses of 800 mg daily, while one study showed unclear outcomes despite high doses of 2 grams per day. No studies reported harm, but the overall findings suggest that while DHA may have potential benefits, further research is needed to clarify its effectiveness and optimal dosing.",0.8,37874103,2023,Baseline Findings of PreventE4: A Double-Blind Placebo Controlled Clinical Trial Testing High Dose DHA in APOE4 Carriers before the Onset of Dementia.,randomized_controlled_trial,mixed_unclear,"The study aims to assess the effects of DHA on cognitive function and brain imaging biomarkers, but the outcomes are not definitively beneficial or harmful based on the abstract.",2 grams per day 2 years,,,alzheimer disease,alzheimer disease; cognitive function; mild cognitive impairment,,,
Docosahexaenoic acid (DHA),adverse effect on behavioral functioning; gastrointestinal symptoms; higher risk of gestational diabetes associated with DHA supplementation; higher risk of obesity in high-DHA group; less rested compared to placebo; participants reported feeling less energetic; possible adverse effect on language of females at 1.5 years,Dementia Prevention,,Healthy Aging & Prevention,manual_pair,"The evidence for docosahexaenoic acid (DHA) in improving cognitive function in individuals with mild cognitive impairment is mixed. Three studies reported benefits with doses of 800 mg daily, while one study showed unclear outcomes despite high doses of 2 grams per day. No studies reported harm, but the overall findings suggest that while DHA may have potential benefits, further research is needed to clarify its effectiveness and optimal dosing.",0.8,40044083,2025,"Supplementation of medium-chain triglycerides combined with docosahexaenoic acid improves cognitive function in Chinese older adults with mild cognitive impairment: A randomized double-blind, placebo-controlled trial.",randomized_controlled_trial,benefit,"The study shows significant improvements in cognitive function for MCI patients, indicating a benefit from the supplementation.",14 g daily 12 months (octanoic acid and capric acid); 800 mg daily 12 months (DHA),Older Adults,,mild cognitive impairment,alzheimer disease; cognitive function; mild cognitive impairment,,,
